Path Cost Cserna,Probability Cserna,CDF Cserna
2.74547,0.00286567,0.451591
2.74947,0.00286922,0.45446
2.75347,0.00287263,0.457332
2.75747,0.00287589,0.460208
2.76147,0.002879,0.463087
2.76547,0.00288196,0.465969
2.76947,0.00288477,0.468854
2.77347,0.00288744,0.471741
2.77747,0.00288996,0.474631
2.78147,0.00289232,0.477524
2.78547,0.00289453,0.480418
2.78947,0.0028966,0.483315
2.79347,0.00289851,0.486213
2.79747,0.00290027,0.489114
2.80147,0.00290187,0.492015
2.80547,0.00290333,0.494919
2.80947,0.00290462,0.497823
2.81347,0.00290577,0.500729
2.81747,0.00290676,0.503636
2.82147,0.00290759,0.506544
2.82547,0.00290827,0.509452
2.82947,0.0029088,0.512361
2.83347,0.00290917,0.51527
2.83747,0.00290938,0.518179
2.84147,0.00290943,0.521089
2.84547,0.00290934,0.523998
2.84947,0.00290908,0.526907
2.85347,0.00290867,0.529816
2.85747,0.0029081,0.532724
2.86147,0.00290737,0.535631
2.86547,0.00290649,0.538538
2.86947,0.00290545,0.541443
2.87347,0.00290425,0.544347
2.87747,0.00290289,0.54725
2.88147,0.00290138,0.550152
2.88547,0.00289971,0.553051
2.88947,0.00289789,0.555949
2.89347,0.00289591,0.558845
2.89747,0.00289377,0.561739
2.90147,0.00289147,0.56463
2.90547,0.00288902,0.567519
2.90947,0.00288642,0.570406
2.91347,0.00288366,0.573289
2.91747,0.00288074,0.57617
2.92147,0.00287767,0.579048
2.92547,0.00287444,0.581922
2.92947,0.00287106,0.584793
2.93347,0.00286752,0.587661
2.93747,0.00286383,0.590525
2.94147,0.00285999,0.593385
2.94547,0.002856,0.596241
2.94947,0.00285185,0.599093
2.95347,0.00284755,0.60194
2.95747,0.0028431,0.604783
2.96147,0.0028385,0.607622
2.96547,0.00283375,0.610455
2.96947,0.00282885,0.613284
2.97347,0.0028238,0.616108
2.97747,0.0028186,0.618927
2.98147,0.00281326,0.62174
2.98547,0.00280777,0.624548
2.98948,0.00280213,0.62735
2.99348,0.00279635,0.630146
2.99748,0.00279042,0.632937
3.00148,0.00278435,0.635721
3.00548,0.00277814,0.638499
3.00948,0.00277179,0.641271
3.01348,0.00276529,0.644036
3.01748,0.00275866,0.646795
3.02148,0.00275188,0.649547
3.02548,0.00274497,0.652292
3.02948,0.00273792,0.65503
3.03348,0.00273073,0.65776
3.03748,0.00272341,0.660484
3.04148,0.00271595,0.6632
3.04548,0.00270836,0.665908
3.04948,0.00270064,0.668609
3.05348,0.00269279,0.671301
3.05748,0.00268481,0.673986
3.06148,0.0026767,0.676663
3.06548,0.00266846,0.679331
3.06948,0.00266009,0.681992
3.07348,0.00265161,0.684643
3.07748,0.00264299,0.687286
3.08148,0.00263425,0.68992
3.08548,0.0026254,0.692546
3.08948,0.00261642,0.695162
3.09348,0.00260732,0.69777
3.09748,0.00259811,0.700368
3.10148,0.00258878,0.702956
3.10548,0.00257933,0.705536
3.10948,0.00256977,0.708106
3.11348,0.0025601,0.710666
3.11748,0.00255032,0.713216
3.12148,0.00254043,0.715756
3.12548,0.00253043,0.718287
3.12948,0.00252032,0.720807
3.13348,0.00251011,0.723317
3.13748,0.0024998,0.725817
3.14148,0.00248938,0.728306
3.14548,0.00247887,0.730785
3.14948,0.00246825,0.733254
3.15348,0.00245754,0.735711
3.15748,0.00244673,0.738158
3.16148,0.00243583,0.740594
3.16548,0.00242483,0.743018
3.16948,0.00241375,0.745432
3.17348,0.00240257,0.747835
3.17748,0.0023913,0.750226
3.18148,0.00237995,0.752606
3.18548,0.00236852,0.754975
3.18948,0.002357,0.757332
3.19348,0.0023454,0.759677
3.19748,0.00233372,0.762011
3.20148,0.00232196,0.764333
3.20548,0.00231012,0.766643
3.20948,0.00229821,0.768941
3.21348,0.00228623,0.771227
3.21748,0.00227417,0.773501
3.22148,0.00226204,0.775763
3.22548,0.00224985,0.778013
3.22948,0.00223759,0.780251
3.23348,0.00222526,0.782476
3.23748,0.00221288,0.784689
3.24148,0.00220043,0.786889
3.24548,0.00218792,0.789077
3.24948,0.00217535,0.791253
3.25348,0.00216273,0.793415
3.25748,0.00215005,0.795565
3.26148,0.00213732,0.797703
3.26548,0.00212453,0.799827
3.26948,0.0021117,0.801939
3.27348,0.00209882,0.804038
3.27748,0.0020859,0.806124
3.28148,0.00207293,0.808197
3.28548,0.00205991,0.810257
3.28948,0.00204686,0.812303
3.29348,0.00203377,0.814337
3.29748,0.00202064,0.816358
3.30148,0.00200747,0.818365
3.30548,0.00199428,0.82036
3.30948,0.00198104,0.822341
3.31348,0.00196778,0.824308
3.31748,0.00195449,0.826263
3.32148,0.00194117,0.828204
3.32548,0.00192783,0.830132
3.32948,0.00191446,0.832046
3.33348,0.00190107,0.833947
3.33748,0.00188766,0.835835
3.34148,0.00187424,0.837709
3.34548,0.00186079,0.83957
3.34948,0.00184733,0.841417
3.35348,0.00183386,0.843251
3.35748,0.00182037,0.845072
3.36148,0.00180687,0.846879
3.36548,0.00179337,0.848672
3.36948,0.00177985,0.850452
3.37348,0.00176634,0.852218
3.37748,0.00175281,0.853971
3.38148,0.00173929,0.85571
3.38548,0.00172576,0.857436
3.38948,0.00171224,0.859148
3.39348,0.00169872,0.860847
3.39748,0.0016852,0.862532
3.40148,0.00167168,0.864204
3.40548,0.00165818,0.865862
3.40948,0.00164468,0.867507
3.41348,0.00163119,0.869138
3.41748,0.00161771,0.870756
3.42148,0.00160425,0.87236
3.42548,0.0015908,0.873951
3.42948,0.00157737,0.875528
3.43348,0.00156395,0.877092
3.43748,0.00155056,0.878643
3.44149,0.00153718,0.88018
3.44549,0.00152382,0.881704
3.44949,0.00151049,0.883214
3.45349,0.00149718,0.884711
3.45749,0.0014839,0.886195
3.46149,0.00147064,0.887666
3.46549,0.00145742,0.889123
3.46949,0.00144422,0.890567
3.47349,0.00143105,0.891998
3.47749,0.00141792,0.893416
3.48149,0.00140482,0.894821
3.48549,0.00139175,0.896213
3.48949,0.00137872,0.897592
3.49349,0.00136573,0.898957
3.49749,0.00135277,0.90031
3.50149,0.00133986,0.90165
3.50549,0.00132698,0.902977
3.50949,0.00131415,0.904291
3.51349,0.00130136,0.905592
3.51749,0.00128862,0.906881
3.52149,0.00127592,0.908157
3.52549,0.00126326,0.90942
3.52949,0.00125066,0.910671
3.53349,0.0012381,0.911909
3.53749,0.00122559,0.913135
3.54149,0.00121313,0.914348
3.54549,0.00120072,0.915548
3.54949,0.00118837,0.916737
3.55349,0.00117607,0.917913
3.55749,0.00116382,0.919077
3.56149,0.00115163,0.920228
3.56549,0.00113949,0.921368
3.56949,0.00112742,0.922495
3.57349,0.0011154,0.923611
3.57749,0.00110343,0.924714
3.58149,0.00109153,0.925806
